築	チク,きず-く
貯	チョ
張	チョウ,は-る
停	テイ
提	テイ
程	テイ
適	テキ
統	トウ
堂	ドウ
銅	ドウ
導	ドウ,みちび-く
得	トク,え-る
毒	ドク
独	ドク,ひと-り
任	ニン,まか-せる,まか-す
燃	ネン,も-える,も-やす,も-す
能	ノウ
破	ハ,やぶ-る,やぶ-れる
犯	ハン
判	ハン,バン
版	ハン
比	ヒ,くら-べる
肥	ヒ,こ-える,こえ,こ-やす,こ-やし
非	ヒ
費	ヒ
備	ビ,そな-える,そな-わる
評	ヒョウ
貧	ビン,まず-しい
布	フ,ぬの
婦	フ
武	ブ,ム
復	フク
複	フク
仏	ブツ,ほとけ
粉	フン,こ,こな
編	ヘン,あ-む
弁	ベン
保	ホ,たも-つ
墓	ボ,はか
報	ホウ
豊	ホウ,ゆた-か
防	ボウ,ふせ-ぐ
貿	ボウ
暴	ボウ,あば-れる
脈	ミャク
務	ム,つと-める,つと-まる
夢	ム,ゆめ
迷	まよ-う
綿	メン,わた
輸	ユ
余	ヨ,あま-る,あま-す
容	ヨウ
略	リャク
留	リュウ,ル,と-める,と-まる
領	リョウ
歴	レキ
胃	イ
異	イ,こと
遺	イ
域	イキ
宇	ウ
映	エイ,うつ-る,うつ-す
延	エン,の-びる,の-べる,の-ばす
沿	エン,そ-う
恩	オン
我	われ
灰	はい
拡	カク
革	カク
閣	カク
割	わ-る,わり,わ-れる
株	かぶ
干	カン,ほ-す
巻	カン,ま-く,まき
看	カン
簡	カン
危	キ,あぶ-ない
机	つくえ
揮	キ
貴	キ
疑	ギ,うたが-う
吸	キュウ,す-う
供	キョウ,そな-える,とも
胸	キョウ,むね
郷	キョウ
勤	キン,つと-める,つと-まる
筋	キン,すじ
系	ケイ
敬	ケイ,うやま-う
警	ケイ
劇	ゲキ
激	ゲキ,はげ-しい
穴	あな
券	ケン
絹	きぬ
権	ケン
憲	ケン
源	ゲン,みなもと
厳	ゲン,きび-しい
己	コ
呼	コ,よ-ぶ
誤	ゴ,あやま-る
后	コウ
孝	コウ
皇	コウ,オウ
紅	コウ,べに
降	コウ,お-りる,お-ろす,ふ-る
鋼	コウ
刻	コク,きざ-む
穀	コク
骨	コツ,ほね
困	コン,こま-る
砂	サ,すな
座	ザ
済	サイ,す-む,す-ます
裁	サイ,さば-く
策	サク
冊	サツ
蚕	サン,かいこ
至	シ,いた-る
私	シ,わたくし,わたし
姿	シ,すがた
視	シ
詞	シ
誌	シ
磁	ジ
射	シャ,い-る
捨	シャ,す-てる
尺	シャク
若	わか-い
樹	ジュ
収	シュウ,おさ-める,おさ-まる
宗	シュウ
就	シュウ
衆	シュウ
従	ジュウ,したが-う,したが-える
縦	ジュウ,たて
縮	シュク,ちぢ-む,ちぢ-まる,ちぢ-める,ちぢ-れる,ちぢ-らす
熟	ジュク
純	ジュン
処	ショ
署	ショ
諸	ショ
除	ジョ,のぞ-く
承	ショウ
将	ショウ
傷	ショウ,きず
障	ショウ
蒸	ジョウ
針	シン,はり
仁	ジン
垂	スイ,た-れる,た-らす
推	スイ
寸	スン
盛	も-る
聖	セイ
誠	セイ
舌	した
宣	セン
専	セン
泉	セン,いずみ
洗	セン,あら-う
染	そ-める,そ-まる
銭	セン
善	ゼン,よ-い
奏	ソウ
窓	ソウ,まど
創	ソウ,つく-る
装	ソウ
層	ソウ
操	ソウ
蔵	ゾウ
臓	ゾウ
存	ソン,ゾン
尊	ソン,たっと-い,とうと-い,たっと-ぶ,とうと-ぶ
退	タイ,しりぞ-く,しりぞ-ける
宅	タク
担	タン
探	タン,さが-す
誕	タン
段	ダン
暖	ダン,あたた-か,あたた-かい,あたた-まる,あたた-める
値	チ,ね
宙	チュウ
忠	チュウ
著	チョ
庁	チョウ
頂	チョウ,いただ-く,いただき
腸	チョウ
潮	チョウ,しお
賃	チン
痛	ツウ,いた-い,いた-む,いた-める
敵	テキ
展	テン
討	トウ
党	トウ
糖	トウ
届	とど-ける,とど-く
難	ナン,むずか-しい
乳	ニュウ,ちち
認	みと-める
納	ノウ,おさ-める,おさ-まる
脳	ノウ
派	ハ
拝	ハイ,おが-む
背	ハイ,せ,せい
肺	ハイ
俳	ハイ
班	ハン
晩	バン
否	ヒ
批	ヒ
秘	ヒ
俵	ヒョウ,たわら
腹	フク,はら
奮	フン,ふる-う
並	なみ,なら-べる,なら-ぶ,なら-びに
陛	ヘイ
閉	ヘイ,と-じる,し-める,し-まる
片	かた
補	ホ,おぎな-う
暮	く-れる,く-らす
宝	ホウ,たから
訪	ホウ,たず-ねる
亡	ボウ
忘	わす-れる
棒	ボウ
枚	マイ
幕	マク,バク
密	ミツ
盟	メイ
模	モ,ボ
訳	ヤク,わけ
郵	ユウ
優	ユウ
預	ヨ,あず-ける,あず-かる
幼	ヨウ,おさな-い
欲	ヨク
翌	ヨク
乱	ラン,みだ-れる,みだ-す
卵	たまご
覧	ラン
裏	うら
律	リツ
臨	リン
朗	ロウ
論	ロン
侵	シン,おか-す
獣	ジュウ,けもの
紫	シ,むらさき
項	コウ
兼	ケン,か-ねる
況	キョウ
輝	キ,かがや-く
較	カク
援	エン
握	アク,にぎ-る
振	シン,ふ-る,ふ-るう,ふ-れる
瞬	シュン
雌	シ,め,めす
稿	コウ
剣	ケン,つるぎ
狭	せま-い,せば-める,せば-まる
儀	ギ
獲	カク,え-る
煙	エン,けむ-る,けむり,けむ-い
扱	あつか-う
浸	シン,ひた-す,ひた-る
旬	ジュン,シュン
執	シツ,シュウ,と-る
豪	ゴウ
軒	ケン,のき
恐	キョウ,おそ-れる,おそ-ろしい
戯	ギ
刈	か-る
鉛	エン,なまり
依	イ
寝	シン,ね-る,ね-かす
巡	ジュン,めぐ-る
芝	しば
込	こ-む,こ-める
圏	ケン
響	キョウ,ひび-く
詰	つ-める,つ-まる,つ-む
甘	カン,あま-い,あま-える,あま-やかす
縁	エン,ふち
威	イ
慎	シン,つつし-む
盾	ジュン,たて
斜	シャ,なな-め
婚	コン
堅	ケン,かた-い
驚	キョウ,おどろ-く,おどろ-かす
却	キャク
汗	カン,あせ
汚	オ,よご-す,よご-れる,きたな-い
為	イ
震	シン,ふる-う,ふる-える
召	ショウ,め-す
煮	に-る,に-える,に-やす
鎖	サ,くさり
遣	ケン,つか-う,つか-わす
仰	ギョウ,コウ,あお-ぐ
脚	キャク,あし
乾	カン,かわ-く,かわ-かす
押	お-す,お-さえる
偉	イ,えら-い
薪	シン,たきぎ
床	ショウ,とこ,ゆか
釈	シャク
彩	サイ
玄	ゲン
駆	ク,か-ける,か-る
及	キュウ,およ-ぶ,およ-び,およ-ぼす
勧	カン,すす-める
奥	おく
違	イ,ちが-う,ちが-える
尽	ジン,つ-くす,つ-きる,つ-かす
沼	ぬま
寂	ジャク,さび,さび-しい,さび-れる
歳	サイ,セイ
枯	コ,か-れる,か-らす
屈	クツ
丘	キュウ,おか
歓	カン
憶	オク
維	イ
陣	ジン
称	ショウ
朱	シュ
載	サイ,の-せる,の-る
誇	コ,ほこ-る
掘	クツ,ほ-る
朽	キュウ,く-ちる
監	カン
菓	カ
緯	イ
尋	ジン,たず-ねる
紹	ショウ
狩	シュ,か-る,か-り
剤	ザイ
鼓	コ
繰	く-る
巨	キョ
環	カン
暇	カ,ひま
壱	イチ
吹	スイ,ふ-く
詳	ショウ,くわ-しい
趣	シュ,おもむき
咲	さ-く
互	ゴ,たが-い
恵	ケイ,エ,めぐ-む
拠	キョ,コ
鑑	カン
箇	カ
芋	いも
是	ゼ
丈	ジョウ,たけ
需	ジュ
惨	サン
抗	コウ
傾	ケイ,かたむ-く,かたむ-ける
距	キョ
含	ガン,ふく-む,ふく-める
雅	ガ
陰	イン,かげ,かげ-る
姓	セイ,ショウ
畳	ジョウ,たた-む,たたみ
舟	シュウ,ふね,ふな
旨	シ
攻	コウ,せ-める
継	ケイ,つ-ぐ
御	ギョ,ゴ,おん
奇	キ
介	カイ
隠	イン,かく-す,かく-れる
征	セイ
殖	ショク,ふ-える,ふ-やす
秀	シュウ
伺	うかが-う
更	コウ,さら
迎	ゲイ,むか-える
凶	キョウ
祈	キ,いの-る
戒	カイ,いまし-める
影	エイ,かげ
跡	セキ,あと
飾	ショク,かざ-る
襲	シュウ,おそ-う
刺	シ,さ-す,さ-さる
恒	コウ
撃	ゲキ,う-つ
叫	キョウ,さけ-ぶ
鬼	キ,おに
皆	カイ,みな
鋭	エイ,するど-い
占	セン,し-める,うらな-う
触	ショク,ふ-れる,さわ-る
柔	ジュウ,ニュウ,やわ-らか,やわ-らかい
脂	シ,あぶら
荒	コウ,あら-い,あ-れる,あ-らす
肩	かた
狂	キョウ,くる-う,くる-おしい
幾	キ,いく
壊	カイ,こわ-す,こわ-れる
越	エツ,こ-す,こ-える
麗	レイ
腰	こし
漫	マン
柄	がら,え
微	ビ
薄	ハク,うす-い,うす-める,うす-まる,うす-らぐ,うす-れる
稲	トウ,いね,いな
滴	テキ,しずく
淡	タン,あわ-い
扇	セン,おうぎ
暦	レキ,こよみ
踊	ヨウ,おど-る,おど-り
妙	ミョウ
壁	ヘキ,かべ
匹	ヒツ,ひき
爆	バク
踏	トウ,ふ-む,ふ-まえる
添	テン,そ-える,そ-う
嘆	タン,なげ-く,なげ-かわしい
鮮	セン,あざ-やか
劣	レツ,おと-る
謡	ヨウ
眠	ミン,ねむ-る,ねむ-い
捕	ホ,と-らえる,と-らわれる,と-る,つか-まえる,つか-まる
